imagen,real,pred_ocr,pred_modelo_v2,pred_modelo_v3
JZB-357.jpg,JZB-357,JZB-357,BB55,
ZII-203.jpg,ZII-203,ZML-203,5,5
RQJ-557.jpg,RQJ-557,RQJ-557,B5,
MPH-401.jpg,MPH-401,MPH-401,MM,
XFG-265.jpg,XFG-265,XFG-265,5335,
KBQ-725.jpg,KBQ-725,KBQ-725,B3,
QOY-792.jpg,QOY-792,Q0Y-792,55,9
IZQ-374.jpg,IZQ-374,IZQ-374,5,8
MVR-471.jpg,MVR-471,MVR-471,MMMM,00
BNA-231.jpg,BNA-231,BNA-231,5,63
CEK-522.jpg,CEK-522,CEK-522,3,00
UJN-437.jpg,UJN-437,UJN-437,MMM,0
DJW-211.jpg,DJW-211,DJW-211,MM,000
SDF-659.jpg,SDF-659,SDF-659,55,
FDJ-327.jpg,FDJ-327,FDJ327,,
LXD-922.jpg,LXD-922,LXD-922,3,0
LFP-934.jpg,LFP-934,LFP934,5,38
GEZ-389.jpg,GEZ-389,GEZ389,EB,08
AHF-102.jpg,AHF-102,AHF-102,M5,8
EGP-322.jpg,EGP-322,EGP322,533,000
CFU-318.jpg,CFU-318,CFU318,5B,8
ULX-444.jpg,ULX-444,ULX-444,X,
HYL-535.jpg,HYL-535,HYL-535,M5,
AEC-361.jpg,AEC-361,AEC-361,35,30
IYA-068.jpg,IYA-068,IYA-068,B,88
YAS-142.jpg,YAS-142,YAS-142,55,
KPM-980.jpg,KPM-980,KPM-98,B,8
NZZ-082.jpg,NZZ-082,NZZT082,NB,880
ACC-429.jpg,ACC-429,ACC-429,5333,88
MYL-462.jpg,MYL-462,MYL-462,MM5,
PNW-801.jpg,PNW-801,PNW-801,W5B,
WLN-270.jpg,WLN-270,WLN-270,WM,0
AFJ-311.jpg,AFJ-311,AFJ311,,85C
UIG-853.jpg,UIG-853,UIG-853,55B55,
WSO-661.jpg,WSO-661,WSO-661,55,000
XAS-261.jpg,XAS-261,XAS-261,455,
OVT-189.jpg,OVT-189,0VT-189,MMMB,0055
QNX-189.jpg,QNX-189,QNX-189,MB,089
YJH-166.jpg,YJH-166,YJH-166,5,
GLW-838.jpg,GLW-838,GLW-838,MMMB,008
SBV-758.jpg,SBV-758,SBV-758,BM5B,58
BRA-362.jpg,BRA-362,BRA-362,35,00
TUO-152.jpg,TUO-152,TUO-152,53,
QWY-617.jpg,QWY-617,QWY617,MMM,000
XSP-219.jpg,XSP-219,XSP219,55,
ZTK-166.jpg,ZTK-166,ZTK-166,M5,
LFU-477.jpg,LFU-477,LFU-477,,3
FCY-161.jpg,FCY-161,FCY161,55,
LQP-599.jpg,LQP-599,LQP599,55,
DMH-169.jpg,DMH-169,DMH-169,MM5,Q993
KTG-713.jpg,KTG-713,KTG-713,M535M,
HQN-177.jpg,HQN-177,HQN-17,MMMM,00
MSN-145.jpg,MSN-145,MSN-145,5,003
TYG-999.jpg,TYG-999,TYG-999,5555,
PWV-848.jpg,PWV-848,PWV84,WBBB,0888
MSA-225.jpg,MSA-225,MSA-225,M3,006
UHK-946.jpg,UHK-946,UHK-94,M3,0
GIT-225.jpg,GIT-225,GT225,5,00
WDI-278.jpg,WDI-278,WD-278,WB,00088
ETB-219.jpg,ETB-219,ETB-219,BB35,0
OAV-445.jpg,OAV-445,OAV-445,,08
LNF-001.jpg,LNF-001,LNF001,M5,00
HQG-740.jpg,HQG-740,HQG-740,M53,80
VIQ-393.jpg,VIQ-393,VIQ-393,55,9
BQL-116.jpg,BQL-116,BQL-116,55,6
GOJ-086.jpg,GOJ-086,GOJ-086,5B,000
EJT-268.jpg,EJT-268,EJT268,E5B,38
OZF-926.jpg,OZF-926,OZF926,5M5,00
WQE-905.jpg,WQE-905,WQE-908,M9,000
WHO-222.jpg,WHO-222,WHO-222,MMM,00
RBS-444.jpg,RBS-444,RBS-444,B,
SXS-402.jpg,SXS-402,SXS-402,55,9
NMF-137.jpg,NMF-137,NMF137,M5,0
LXI-293.jpg,LXI-293,LXI-293,5,C39
CLU-613.jpg,CLU-613,CLU-613,5555,9
VZP-054.jpg,VZP-054,VZP054,M5,
LOQ-970.jpg,LOQ-970,LOQ-970,5,Q909
LQI-670.jpg,LQI-670,LQ-670,5555,Q
HOC-427.jpg,HOC-427,HOC-42,M55,
DML-340.jpg,DML-340,DML-34Q,MMM3,000
IMD-582.jpg,IMD-582,IMD-582,B,0
VGJ-210.jpg,VGJ-210,VGJ210,335,000909
VJA-709.jpg,VJA-709,VJA-709,M,
QDQ-232.jpg,QDQ-232,QQ-232,5,0
KAJ-716.jpg,KAJ-716,KAJ-716,5,8
FOJ-470.jpg,FOJ-470,FOJ-470,5,00
DFS-439.jpg,DFS-439,DFS-439,333,0
KSP-023.jpg,KSP-023,KSP023,55,
HSL-877.jpg,HSL-877,HSL-877,MBB,
EJK-610.jpg,EJK-610,EJK-610,3,09
ZXH-942.jpg,ZXH-942,ZXH942,M,
JFL-282.jpg,JFL-282,JFL-282,B5,
EZK-754.jpg,EZK-754,EZK-754,EKK5,B
NUO-251.jpg,NUO-251,NU0-251,M535,00
NQD-446.jpg,NQD-446,NQD-44,,008
RVM-292.jpg,RVM-292,RVM-294,MMM3,
NQD-034.jpg,NQD-034,NQD-034,M5,00
HKX-523.jpg,HKX-523,HKX-523,553,
PJO-073.jpg,PJO-073,PJO0-073,B55,
FID-242.jpg,FID-242,FID-242,3,
UUR-421.jpg,UUR-421,UUR-421,R,
MJZ-030.jpg,MJZ-030,MJZ-030,M3,09
QHB-236.jpg,QHB-236,QHB-23,B3,00
XEG-725.jpg,XEG-725,XEG-725,335,
VMX-071.jpg,VMX-071,VMX-071,MM,00
HKR-095.jpg,HKR-095,HKR-095,R95,
DUO-135.jpg,DUO-135,DUO-135,55,Q93
UCP-864.jpg,UCP-864,UCP864,5BB5,00
QMI-548.jpg,QMI-548,QMI-548,MB,00088
ZNT-731.jpg,ZNT-731,ZNT-731,M5,
IPH-010.jpg,IPH-010,IPH-010,43,009
ERO-174.jpg,ERO-174,ERO-174,M,
YMA-107.jpg,YMA-107,YMA-107,MM,0
KJN-635.jpg,KJN-635,KJN-635,MM53,
UZX-083.jpg,UZX-083,UZX-083,B,08
LHC-947.jpg,LHC-947,LHC-947,M,8
YPB-144.jpg,YPB-144,YPB-144,B,8
RPP-054.jpg,RPP-054,RPP054,B5,
HVB-950.jpg,HVB-950,HVB-950,MB5,9
VUO-871.jpg,VUO-871,VU0-871,MBBM,0000
GIW-160.jpg,GIW-160,GW-160,W5,09
KOD-096.jpg,KOD-096,KOD-09,5,
UTB-368.jpg,UTB-368,UTB-368,BB,8
XKK-345.jpg,XKK-345,XKK-345,,
DAS-921.jpg,DAS-921,DAS-921,555,0000
LTI-935.jpg,LTI-935,LTI-935,55,
SZI-243.jpg,SZI-243,SZI-243,55,3
YRJ-495.jpg,YRJ-495,YRJ-495,,
NFK-687.jpg,NFK-687,NFK-687,MMB,8
CYA-896.jpg,CYA-896,CYA-896,B3,
RWX-170.jpg,RWX-170,RWX-170,,09
DQZ-920.jpg,DQZ-920,DOZ-92D,93,00
PSV-360.jpg,PSV-360,PSV-360,353,
ZJT-202.jpg,ZJT-202,ZJT202,MM35,000
UJH-737.jpg,UJH-737,UJH-737,5,
MBZ-568.jpg,MBZ-568,MBZ-568,MB5,08
BGX-218.jpg,BGX-218,BGX-218,B5XB,
XYQ-511.jpg,XYQ-511,XYQ511,3M,0
BSO-108.jpg,BSO-108,BSO-108,B55,8
GAT-804.jpg,GAT-804,GAT-804,BB,088
LTN-863.jpg,LTN-863,LTN-863,MMMBBB5,
OKM-469.jpg,OKM-469,OKM-469,MMM5,0
GFG-728.jpg,GFG-728,GFG-728,3335B,00
KLY-404.jpg,KLY-404,KLY404,MM,5
HSN-915.jpg,HSN-915,HSN-915,55555,3
INH-919.jpg,INH-919,INH-919,MMMMM5,090
HIA-891.jpg,HIA-891,HIA-891,MBB3,00
EQN-723.jpg,EQN-723,EQN-723,MM5,
RQN-481.jpg,RQN-481,RQN481,BB,8888
PYE-572.jpg,PYE-572,PYE572,M,00
YOZ-450.jpg,YOZ-450,YOZ-450,55,9
OAE-803.jpg,OAE-803,OAES803,B5,3
PQE-311.jpg,PQE-311,PQE-311,M,0
SDI-436.jpg,SDI-436,SD-436,55,
CNB-141.jpg,CNB-141,CNB-141,MMM,
PVF-892.jpg,PVF-892,PVF-892,MMBB,0
TQD-573.jpg,TQD-573,TQD-573,53,0
QOY-015.jpg,QOY-015,QOY0157,5,
BBQ-620.jpg,BBQ-620,BBQ-62,B,
VFY-102.jpg,VFY-102,VFY102,M5,
WXB-631.jpg,WXB-631,WXB-631,B5,0
QMP-824.jpg,QMP-824,QMP82,B,0088
OCU-525.jpg,OCU-525,OCU-525,555,3
PUF-101.jpg,PUF-101,PUF101,5,90
VFN-068.jpg,VFN-068,VFN-068,MMB,088
XRU-990.jpg,XRU-990,XRU-990,9,
DMO-692.jpg,DMO-692,DMO-692,M5,00
RWV-072.jpg,RWV-072,RWV073,MM,0
ZXB-087.jpg,ZXB-087,ZXB-087,BB,8
XRS-002.jpg,XRS-002,XRS-002,9,
XWG-613.jpg,XWG-613,XWG-61,55,03
DYL-950.jpg,DYL-950,DYL-950,M35,099
XMR-153.jpg,XMR-153,XMR-15,MM5,
GRV-233.jpg,GRV-233,GRV233,53,00
CNS-829.jpg,CNS-829,CNS829,BB,
YHX-090.jpg,YHX-090,YHX-090,M9,0
FXW-630.jpg,FXW-630,FXW630,W5,5
SFZ-188.jpg,SFZ-188,SFZ-188,B,88
NZC-030.jpg,NZC-030,NZC-03Q,55,0
JSJ-695.jpg,JSJ-695,JSJ-695,355,
UNF-771.jpg,UNF-771,UNF-771,MM,00
XUO-814.jpg,XUO-814,XU0-814,BB,B
GBW-090.jpg,GBW-090,GBW-09,B9,0
BNQ-717.jpg,BNQ-717,BNQ-717,BK,6
RBO-768.jpg,RBO-768,RBO-76,B5B,88
OEK-615.jpg,OEK-615,OEK-615,3,09
HQM-096.jpg,HQM-096,HQM-09,5,0
LWW-620.jpg,LWW-620,LWW-620,WS,
EMU-902.jpg,EMU-902,EMU-904,M,
CBX-165.jpg,CBX-165,CBX-165,B5,96
UGP-452.jpg,UGP-452,UGP452,535,008
VWB-049.jpg,VWB-049,VWB-049,BB3,
RFB-434.jpg,RFB-434,RFB-434,BB5,
WZD-581.jpg,WZD-581,WZD-581,MB,08
AOR-828.jpg,AOR-828,AOR-828,RRBBB,8
HUL-773.jpg,HUL-773,HUL-773,M,00
KRF-645.jpg,KRF-645,KRF645,3,
BBB-007.jpg,BBB-007,BBB-00,BB,0
CTX-237.jpg,CTX-237,CTX-237,5XXX5,
TJC-428.jpg,TJC-428,TJC-428,55535B,88
HKC-263.jpg,HKC-263,HKC-26,M55,
YCE-467.jpg,YCE-467,YCE467,555,
CIW-818.jpg,CIW-818,CIW-818,MMBBB,88
FYN-469.jpg,FYN-469,FYN-469,MM5,5
KQB-901.jpg,KQB-901,KQB-901,BB,00
XYG-073.jpg,XYG-073,XYG-073,555,
LOV-324.jpg,LOV-324,LOV324,3,8
EZB-440.jpg,EZB-440,EZB-440,EB,5809
LIH-514.jpg,LIH-514,LIH-514,55,8
GOL-334.jpg,GOL-334,G0L-334,555,8
WYN-119.jpg,WYN-119,WYN-119,WMM5,09
SPL-400.jpg,SPL-400,SPL-400,5B5,9
ENX-286.jpg,ENX-286,ENX-286,MB,
GKJ-206.jpg,GKJ-206,GKJ206,5,00
EPY-741.jpg,EPY-741,EPY741,M,358
PJM-175.jpg,PJM-175,PJM-175,M,
USO-513.jpg,USO-513,US0-513,355553,05
LXI-369.jpg,LXI-369,LXI-369,55,
IED-363.jpg,IED-363,IED-363,55,
UCX-105.jpg,UCX-105,UCX-105,55,00
AWM-352.jpg,AWM-352,AWM-352,M5,83
YIG-300.jpg,YIG-300,YIG-300,5555,
ZRK-814.jpg,ZRK-814,ZRK-814,B,
COG-635.jpg,COG-635,C0G-635,555,
DFJ-210.jpg,DFJ-210,DFJ-210,5,050
AXO-699.jpg,AXO-699,AXO-699,55,8
HWL-900.jpg,HWL-900,AWL-9OD,W,
UBB-775.jpg,UBB-775,UBB-775,BB5,
KBJ-757.jpg,KBJ-757,KBJ-757,BB5,
VOX-590.jpg,VOX-590,VOX-590,339,09
ATI-339.jpg,ATI-339,ATI-339,55,8
QES-747.jpg,QES-747,QES-747,33,08
LSX-800.jpg,LSX-800,LSX-800,5XB5,3
TMO-445.jpg,TMO-445,TMO-445,M3,
FLU-666.jpg,FLU-666,FLU-666,,0
TQS-329.jpg,TQS-329,TQS-329,335,0
WZB-416.jpg,WZB-416,WZB-416,M,00
MYE-407.jpg,MYE-407,MYES-407,MMM5,03
XWH-380.jpg,XWH-380,XWH-38,MB,
OAS-935.jpg,OAS-935,OAS-935,33,0
UHB-814.jpg,UHB-814,UHB-814,BBBM,0B
PBO-108.jpg,PBO-108,PBO-108,B5,
SGS-863.jpg,SGS-863,SGS-863,535BB5,0
TGJ-204.jpg,TGJ-204,TGJ204,53,
GJX-826.jpg,GJX-826,GJX-826,BB,0
MKM-810.jpg,MKM-810,MKM-81,MMMB,000
MRK-408.jpg,MRK-408,MRK-408,MMMM,0
MLS-658.jpg,MLS-658,MLS-658,M55,0
JSF-326.jpg,JSF-326,JSF326,555,0
INU-019.jpg,INU-019,INU-019,M3,090
JZK-750.jpg,JZK-750,JZK-750,MMM5,099
IQV-694.jpg,IQV-694,IQV-694,55,00
GJI-661.jpg,GJI-661,GJI-661,555,
JSU-997.jpg,JSU-997,JSU-997,5555,
TGN-937.jpg,TGN-937,TGN-937,5M5,0
ODN-916.jpg,ODN-916,ODN-91,N5,96
RXU-920.jpg,RXU-920,RXU-92D,9S,0
QPQ-055.jpg,QPQ-055,QPQ-055,55,03
JVC-005.jpg,JVC-005,JVC-005,55,
WYZ-728.jpg,WYZ-728,WYZ-72,3,0
SYN-829.jpg,SYN-829,SYN-829,MB,9
KWC-560.jpg,KWC-560,KWC-56,MM35,0
RVL-395.jpg,RVL-395,RVL-395,MM3,
DYB-567.jpg,DYB-567,DYB-567,B55,
GOS-223.jpg,GOS-223,G0S-22,5353,00
UCE-813.jpg,UCE-813,UCE-813,5BB,
NFK-192.jpg,NFK-192,NFK-192,MMK5,9
EWZ-950.jpg,EWZ-950,EWZ95,M3,0
OJO-811.jpg,OJO-811,OJ0-811,5BM,0900
HPQ-548.jpg,HPQ-548,HPQ-54,55,88
USJ-608.jpg,USJ-608,USJ-608,55B,88
AQX-676.jpg,AQX-676,AQX-676,5555,8
MZY-554.jpg,MZY-554,MZY-554,MMM555,
CLS-135.jpg,CLS-135,CLS-135,555,9
NEI-726.jpg,NEI-726,NEI-726,M5,
AKG-436.jpg,AKG-436,AKG-436,55,8
FVU-350.jpg,FVU-350,FVU-350,MM35,50
PGH-861.jpg,PGH-861,PGH-861,5B5,
FBG-795.jpg,FBG-795,FBG-795,B5555,
SPY-255.jpg,SPY-255,SPY255,55,
XVH-269.jpg,XVH-269,XVH-269,MM35,8
EYQ-099.jpg,EYQ-099,EYQ-099,E9,5
IKS-852.jpg,IKS-852,IKS-852,3BB,00
DGZ-750.jpg,DGZ-750,DGZ-750,555,
PNL-898.jpg,PNL-898,PNL-898,MNBB,
LTZ-150.jpg,LTZ-150,LTZ150,M5,QQ9
MYD-155.jpg,MYD-155,MYD-155,MM5,0
XFN-278.jpg,XFN-278,XFN278,MB,8
YAY-837.jpg,YAY-837,YAY-837,MBB,
FDI-015.jpg,FDI-015,FDI-015,B35,
IPC-028.jpg,IPC-028,IPC-028,B33B,0
PUA-714.jpg,PUA-714,PUA-714,4,
JFR-679.jpg,JFR-679,JFR-679,R5555,0
KME-208.jpg,KME-208,KME-208,MB,
KGH-249.jpg,KGH-249,KGH-249,MM,0
GQE-204.jpg,GQE-204,GQE-204,55,0
RMV-436.jpg,RMV-436,RMV-43,M53,6
LHJ-364.jpg,LHJ-364,LHJ364,55,88
XGH-624.jpg,XGH-624,XGH-624,3,
FGH-637.jpg,FGH-637,FGH-637,533,
WYB-062.jpg,WYB-062,WYB-062,WB,0
ILY-975.jpg,ILY-975,ILY975,MM5,3
DSH-047.jpg,DSH-047,DSH-04,5,8
FZQ-461.jpg,FZQ-461,FZQ-461,5,5
WAK-479.jpg,WAK-479,WAK7479,MMM,0
QZW-103.jpg,QZW-103,QZW-105,5,03
YLE-344.jpg,YLE-344,YLE-344,M,
MIG-384.jpg,MIG-384,MIG-384,M3B,0088
EUV-445.jpg,EUV-445,EUV-445,5,8
LKH-818.jpg,LKH-818,LKH-818,MMMBB,0
JGP-382.jpg,JGP-382,JGP-382,5B,800
GTW-907.jpg,GTW-907,GTW907,MM5,000
PGV-315.jpg,PGV-315,PGV-315,555,
VGD-449.jpg,VGD-449,VGD-449,M5,00
FXZ-388.jpg,FXZ-388,FXZ-388,B,88
NKN-857.jpg,NKN-857,NKN-85,MBB5,0
VOY-666.jpg,VOY-666,VOY666,55,0
KYL-858.jpg,KYL-858,KYL-858,MMMBB5B,8
GLB-663.jpg,GLB-663,GLB-663,5BBB5,00
QSO-399.jpg,QSO-399,QSO-399,35535,00
KDU-038.jpg,KDU-038,KDU-038,5,88
JKQ-441.jpg,JKQ-441,JKQ-441,,
DGB-023.jpg,DGB-023,DGB-02,5B,3
PGF-519.jpg,PGF-519,PGF519,5535,5
RVG-247.jpg,RVG-247,RVG-247,R55,
BPI-041.jpg,BPI-041,BPI-041,B,B
