epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,12912.5,0.79569,1.12583,1.19074,0.99691,0.99921,0.99478,0.90312,0.44537,0.30745,0.99925,9.42328e-05,9.42328e-05,9.42328e-05
33,13315.7,0.7873,1.12695,1.18549,0.99715,0.99929,0.99491,0.90826,0.43737,0.30495,0.99249,8.94016e-05,8.94016e-05,8.94016e-05
34,13718.8,0.77234,1.08914,1.1703,0.99667,0.99939,0.99479,0.90931,0.43064,0.30446,0.98916,8.45704e-05,8.45704e-05,8.45704e-05
35,14122,0.76519,1.08829,1.16833,0.99715,0.9996,0.99497,0.91213,0.42394,0.2951,0.97798,7.97392e-05,7.97392e-05,7.97392e-05
36,14525.2,0.76833,1.08388,1.17397,0.99753,0.99986,0.99499,0.91106,0.42624,0.29002,0.98096,7.4908e-05,7.4908e-05,7.4908e-05
37,14928.3,0.74752,1.0649,1.16033,0.997,0.99919,0.99488,0.91635,0.40998,0.2872,0.96993,7.00768e-05,7.00768e-05,7.00768e-05
38,15331.6,0.74829,1.07241,1.15602,0.99586,0.9998,0.99492,0.91888,0.40111,0.28557,0.96086,6.52456e-05,6.52456e-05,6.52456e-05
39,15734.7,0.73617,1.04311,1.1508,0.99791,0.99963,0.995,0.91805,0.40302,0.28314,0.96179,6.04144e-05,6.04144e-05,6.04144e-05
40,16137.7,0.73805,1.05749,1.15393,0.9966,0.99986,0.99499,0.92263,0.39566,0.28077,0.95657,5.55832e-05,5.55832e-05,5.55832e-05
41,16540.4,0.47482,0.32412,1.03883,0.99672,0.99973,0.995,0.92864,0.3797,0.27706,0.94328,5.0752e-05,5.0752e-05,5.0752e-05
42,16942.9,0.44858,0.30256,1.01386,0.99686,0.99959,0.99499,0.93215,0.36809,0.26753,0.93192,4.59208e-05,4.59208e-05,4.59208e-05
43,17345.4,0.43235,0.29272,0.99877,0.99744,0.99901,0.9948,0.9362,0.3551,0.26005,0.92164,4.10896e-05,4.10896e-05,4.10896e-05
44,17747.8,0.42047,0.28632,0.99273,0.99703,0.99913,0.99499,0.94309,0.33944,0.25257,0.91103,3.62584e-05,3.62584e-05,3.62584e-05
45,18150.4,0.41133,0.28073,0.98649,0.99796,0.99907,0.99499,0.94292,0.33857,0.25005,0.9097,3.14272e-05,3.14272e-05,3.14272e-05
46,18552.8,0.39803,0.27467,0.97334,0.99766,0.99923,0.99499,0.94624,0.33076,0.24319,0.90247,2.6596e-05,2.6596e-05,2.6596e-05
47,18955.2,0.38908,0.26975,0.96384,0.9976,0.99937,0.99499,0.94938,0.32315,0.23926,0.89811,2.17648e-05,2.17648e-05,2.17648e-05
48,19357.7,0.38029,0.2656,0.95763,0.99778,0.99959,0.99499,0.95122,0.31876,0.23673,0.89475,1.69336e-05,1.69336e-05,1.69336e-05
49,19760.2,0.38088,0.26664,0.96035,0.99771,0.99969,0.99499,0.95368,0.31214,0.2343,0.89042,1.21024e-05,1.21024e-05,1.21024e-05
50,20162.8,0.36965,0.2605,0.94948,0.99761,0.9999,0.99499,0.95383,0.3123,0.23381,0.89034,7.2712e-06,7.2712e-06,7.2712e-06
